state,district,date,income_mean,income_median,year,poverty_absolute,poverty_relative,gini,piped_water,sanitation,electricity
Sarawak,Bintulu,2019-01-01,8324,7380,2019,2.1,2.6,0.322,97.5,99.88,99.9
Sarawak,Bintulu,2022-01-01,9645,8567,2022,3.5,1.9,0.318,96.8,100.0,98.1
Sarawak,Bukit Mabong,2019-01-01,4665,3829,2019,28.7,21.6,0.348,3.7,100.0,100.0
Sarawak,Bukit Mabong,2022-01-01,3509,2948,2022,8.2,39.2,0.297,21.6,100.0,40.2
Sarawak,Dalat,2019-01-01,4790,3486,2019,11.9,20.5,0.389,73.0,96.03,100.0
Sarawak,Dalat,2022-01-01,4841,4057,2022,11.1,19.0,0.315,89.7,100.0,93.7
Sarawak,Daro,2019-01-01,3712,3054,2019,18.5,25.8,0.32,80.6,99.68,100.0
Sarawak,Daro,2022-01-01,4368,3373,2022,32.5,34.5,0.389,83.0,100.0,97.5
Sarawak,Julau,2019-01-01,3506,2488,2019,13.0,43.2,0.401,58.5,100.0,100.0
Sarawak,Julau,2022-01-01,3548,2652,2022,31.2,46.8,0.374,46.8,100.0,93.6
Sarawak,Kabong,2019-01-01,3294,2945,2019,16.1,32.7,0.282,85.1,100.0,100.0
Sarawak,Kabong,2022-01-01,4002,3500,2022,8.6,26.9,0.314,82.8,100.0,100.0
Sarawak,Kanowit,2019-01-01,3480,2670,2019,21.9,41.8,0.387,71.9,100.0,99.1
Sarawak,Kanowit,2022-01-01,3711,2648,2022,24.9,45.7,0.386,77.8,100.0,93.7
Sarawak,Kapit,2019-01-01,4344,3261,2019,3.8,18.2,0.336,62.8,100.0,100.0
Sarawak,Kapit,2022-01-01,4053,2902,2022,20.6,37.9,0.366,57.3,100.0,88.8
Sarawak,Kuching,2019-01-01,7376,5740,2019,5.6,7.4,0.374,98.2,99.94,100.0
Sarawak,Kuching,2022-01-01,7588,5968,2022,9.1,10.1,0.376,99.5,100.0,100.0
Sarawak,Lawas,2019-01-01,5288,4044,2019,14.4,16.1,0.384,76.8,100.0,99.6
Sarawak,Lawas,2022-01-01,4476,3183,2022,18.1,33.7,0.406,65.0,100.0,98.4
Sarawak,Limbang,2019-01-01,5989,4628,2019,11.0,16.2,0.382,88.4,98.6,98.4
Sarawak,Limbang,2022-01-01,5148,4023,2022,14.6,20.5,0.351,87.6,100.0,98.4
Sarawak,Lubok Antu,2019-01-01,3905,2853,2019,7.9,32.1,0.365,71.5,100.0,100.0
Sarawak,Lubok Antu,2022-01-01,4129,3548,2022,14.8,32.7,0.352,90.1,100.0,95.1
Sarawak,Lundu,2019-01-01,4428,3409,2019,10.2,25.0,0.359,51.0,100.0,100.0
Sarawak,Lundu,2022-01-01,4935,3692,2022,13.1,23.2,0.352,63.6,100.0,100.0
Sarawak,Maradong,2019-01-01,4091,3021,2019,12.7,32.4,0.375,94.8,99.13,99.4
Sarawak,Maradong,2022-01-01,4117,3259,2022,19.5,36.4,0.362,96.7,100.0,99.5
Sarawak,Marudi,2019-01-01,4605,3382,2019,16.9,26.1,0.378,46.5,99.74,99.5
Sarawak,Marudi,2022-01-01,5373,4234,2022,12.9,20.6,0.361,47.4,99.5,95.7
Sarawak,Matu,2019-01-01,3901,2776,2019,24.1,35.3,0.383,74.4,90.51,99.3
Sarawak,Matu,2022-01-01,4362,3354,2022,20.8,30.8,0.369,87.7,100.0,93.8
Sarawak,Miri,2019-01-01,7235,5763,2019,4.7,6.0,0.353,99.0,99.91,99.7
Sarawak,Miri,2022-01-01,7932,6449,2022,6.3,6.0,0.342,98.5,99.9,96.3
Sarawak,Mukah,2019-01-01,5447,4238,2019,10.4,16.8,0.367,84.8,100.0,99.6
Sarawak,Mukah,2022-01-01,5962,4623,2022,14.0,21.4,0.386,88.5,99.5,97.2
Sarawak,Pakan,2019-01-01,3175,2637,2019,21.7,38.1,0.309,60.9,99.13,100.0
Sarawak,Pakan,2022-01-01,3936,3546,2022,17.6,29.4,0.312,87.3,100.0,96.1
Sarawak,Pusa,2019-01-01,2758,2449,2019,23.0,44.0,0.245,76.1,100.0,100.0
Sarawak,Pusa,2022-01-01,3395,3124,2022,17.2,28.0,0.225,74.2,100.0,95.7
Sarawak,Samarahan,2019-01-01,6789,5858,2019,4.7,6.5,0.324,96.6,100.0,99.8
Sarawak,Samarahan,2022-01-01,7123,5953,2022,7.9,6.7,0.324,100.0,100.0,100.0
Sarawak,Saratok,2019-01-01,4202,3142,2019,13.8,28.6,0.372,93.1,99.46,100.0
Sarawak,Saratok,2022-01-01,4621,3763,2022,7.4,12.6,0.29,98.3,100.0,100.0
Sarawak,Sarikei,2019-01-01,4609,3486,2019,9.1,25.4,0.372,98.9,100.0,100.0
Sarawak,Sarikei,2022-01-01,5440,3528,2022,20.9,30.0,0.449,96.7,100.0,100.0
Sarawak,Sebauh,2019-01-01,4202,3716,2019,7.4,14.5,0.257,41.4,100.0,100.0
Sarawak,Sebauh,2022-01-01,5120,4428,2022,4.8,16.9,0.303,68.7,100.0,100.0
Sarawak,Selangau,2019-01-01,3588,2671,2019,14.3,38.2,0.385,38.1,100.0,98.9
Sarawak,Selangau,2022-01-01,4128,3005,2022,19.6,38.0,0.393,38.5,100.0,93.3
Sarawak,Serian,2019-01-01,4878,3674,2019,16.8,20.0,0.375,79.8,99.59,99.4
Sarawak,Serian,2022-01-01,4988,4074,2022,14.6,22.7,0.345,86.2,100.0,99.0
Sarawak,Sibu,2019-01-01,6140,4809,2019,7.3,11.0,0.365,97.9,99.88,100.0
Sarawak,Sibu,2022-01-01,6645,5248,2022,10.2,14.8,0.374,98.1,99.9,100.0
Sarawak,Simunjan,2019-01-01,3833,2823,2019,21.1,35.6,0.377,57.0,100.0,99.5
Sarawak,Simunjan,2022-01-01,3917,3196,2022,17.9,33.8,0.314,70.5,100.0,100.0
Sarawak,Song,2019-01-01,3443,2662,2019,6.0,40.0,0.353,22.4,100.0,100.0
Sarawak,Song,2022-01-01,3477,2926,2022,15.8,41.2,0.322,29.8,100.0,78.1
Sarawak,Sri Aman,2019-01-01,4621,3557,2019,7.4,20.7,0.356,81.6,98.9,99.6
